iter	Passed	Remaining
418	2286	3170
419	2290	3162
420	2292	3152
421	2295	3144
422	2301	3139
423	2303	3129
424	2306	3120
425	2312	3116
426	2315	3106
427	2319	3099
428	2321	3090
429	2324	3081
430	2326	3071
431	2333	3067
432	2340	3064
433	2342	3054
434	2344	3045
435	2347	3036
436	2349	3027
437	2351	3017
438	2353	3007
439	2355	2998
440	2358	2988
441	2364	2984
442	2366	2975
443	2368	2965
444	2374	2961
445	2380	2957
446	2383	2948
447	2389	2944
448	2392	2936
449	2394	2927
450	2401	2923
451	2407	2919
452	2410	2910
453	2413	2902
454	2416	2894
455	2423	2890
456	2425	2881
457	2427	2872
458	2431	2865
459	2435	2859
460	2441	2854
461	2443	2845
462	2450	2842
463	2452	2833
464	2454	2824
465	2458	2817
466	2461	2808
467	2464	2801
468	2466	2792
469	2468	2783
470	2474	2779
471	2476	2770
472	2483	2766
473	2485	2758
474	2493	2756
475	2495	2747
476	2498	2738
477	2500	2730
478	2507	2726
479	2509	2718
480	2511	2709
481	2513	2701
482	2520	2697
483	2522	2689
484	2529	2685
485	2531	2677
486	2537	2672
487	2543	2668
488	2546	2660
489	2548	2652
490	2550	2643
491	2556	2639
492	2559	2632
493	2565	2628
494	2567	2619
495	2570	2611
496	2576	2607
497	2579	2599
498	2585	2595
499	2591	2591
500	2595	2585
501	2597	2577
502	2600	2569
503	2602	2560
504	2608	2556
505	2610	2549
506	2613	2540
507	2619	2536
508	2621	2528
509	2624	2521
510	2627	2514
511	2629	2505
512	2631	2497
513	2633	2490
514	2636	2483
515	2638	2475
516	2642	2468
517	2645	2461
518	2647	2453
519	2649	2445
520	2655	2441
521	2658	2434
522	2660	2426
523	2662	2418
524	2664	2410
525	2668	2404
526	2675	2401
527	2678	2394
528	2681	2387
529	2687	2383
530	2689	2375
531	2692	2368
532	2694	2361
533	2697	2353
534	2703	2349
535	2705	2342
536	2708	2335
537	2711	2328
538	2713	2320
539	2715	2313
540	2720	2308
541	2722	2300
542	2725	2293
543	2727	2286
544	2730	2279
545	2734	2273
546	2740	2269
547	2745	2264
548	2747	2256
549	2749	2249
550	2752	2242
551	2754	2235
552	2758	2229
553	2761	2222
554	2763	2215
555	2766	2208
556	2768	2201
557	2770	2194
558	2773	2188
559	2776	2181
560	2779	2174
561	2781	2167
562	2784	2160
563	2786	2154
564	2792	2149
565	2796	2144
566	2803	2140
567	2805	2133
568	2807	2126
569	2809	2119
570	2816	2115
571	2818	2108
572	2820	2102
573	2823	2095
574	2829	2091
575	2836	2087
576	2842	2083
577	2848	2079
578	2852	2074
579	2855	2067
580	2857	2060
581	2860	2054
582	2862	2047
583	2864	2040
584	2866	2033
585	2869	2027
586	2871	2020
587	2874	2013
588	2876	2007
589	2882	2002
590	2884	1996
591	2887	1990
592	2890	1983
593	2892	1977
594	2898	1973
595	2905	1969
596	2908	1963
597	2914	1959
598	2917	1952
599	2919	1946
600	2921	1939
601	2924	1933
602	2926	1926
603	2932	1922
604	2939	1919
605	2945	1915
606	2947	1908
607	2954	1904
608	2957	1899
609	2964	1895
610	2966	1888
611	2968	1882
612	2971	1876
613	2973	1869
614	2976	1863
615	2978	1856
616	2981	1850
617	2983	1844
618	2989	1840
619	2995	1836
620	3002	1832
621	3005	1826
622	3008	1820
623	3010	1813
624	3012	1807
625	3018	1803
626	3021	1797
627	3023	1791
628	3029	1787
629	3034	1782
630	3040	1778
631	3042	1771
632	3049	1767
633	3052	1762
634	3055	1756
635	3057	1750
636	3059	1743
637	3062	1737
638	3065	1732
639	3068	1725
640	3074	1721
641	3076	1715
642	3079	1709
643	3081	1703
644	3088	1699
645	3090	1693
646	3092	1687
647	3094	1681
648	3097	1674
649	3100	1669
650	3106	1665
651	3109	1659
652	3111	1653
653	3113	1646
654	3115	1641
655	3117	1634
656	3119	1628
657	3123	1623
658	3126	1617
659	3129	1612
660	3131	1606
661	3134	1600
662	3136	1594
663	3138	1588
664	3141	1582
665	3143	1576
666	3149	1572
667	3156	1568
668	3158	1562
669	3160	1556
670	3162	1550
671	3166	1545
672	3173	1541
673	3176	1536
674	3179	1530
675	3181	1525
676	3184	1519
677	3188	1514
678	3190	1508
679	3192	1502
680	3195	1496
681	3199	1491
682	3201	1485
683	3205	1480
684	3207	1475
685	3210	1469
686	3212	1463
687	3215	1458
688	3218	1452
689	3220	1447
690	3223	1441
691	3225	1435
692	3228	1430
693	3231	1424
694	3238	1421
695	3245	1417
696	3249	1412
697	3256	1409
698	3259	1403
699	3262	1398
700	3266	1393
701	3268	1387
702	3271	1381
703	3279	1378
704	3281	1373
705	3284	1367
706	3287	1362
707	3289	1356
708	3292	1351
709	3299	1347
710	3301	1342
711	3304	1336
712	3307	1331
713	3310	1325
714	3312	1320
715	3315	1314
716	3318	1309
717	3321	1304
718	3325	1299
719	3328	1294
720	3331	1289
721	3333	1283
722	3339	1279
723	3346	1275
724	3348	1270
725	3351	1264
726	3355	1260
727	3358	1254
728	3361	1249
729	3363	1244
730	3369	1239
731	3378	1237
732	3382	1232
733	3384	1226
734	3387	1221
735	3393	1217
736	3396	1211
737	3398	1206
738	3400	1201
739	3403	1195
740	3406	1190
741	3408	1185
742	3411	1179
743	3417	1175
744	3420	1170
745	3423	1165
746	3425	1160
747	3427	1154
748	3430	1149
749	3432	1144
750	3435	1139
751	3438	1133
752	3444	1129
753	3446	1124
754	3448	1119
755	3450	1113
756	3455	1109
757	3459	1104
758	3462	1099
759	3465	1094
760	3467	1089
761	3469	1083
762	3472	1078
763	3474	1073
764	3480	1069
765	3483	1064
766	3485	1058
767	3488	1053
768	3495	1049
769	3497	1044
770	3502	1040
771	3506	1035
772	3508	1030
773	3510	1025
774	3512	1019
775	3516	1015
776	3519	1010
777	3522	1005
778	3529	1001
779	3532	996
780	3539	992
781	3541	987
782	3544	982
783	3551	978
784	3553	973
785	3556	968
786	3559	963
787	3565	959
788	3568	954
789	3575	950
790	3579	945
791	3587	942
792	3591	937
793	3594	932
794	3597	927
795	3599	922
796	3601	917
797	3606	912
798	3612	908
799	3615	903
800	3617	898
801	3621	894
802	3623	889
803	3626	883
804	3628	879
805	3631	874
806	3634	869
807	3636	864
808	3639	859
809	3642	854
810	3644	849
811	3648	844
812	3653	840
813	3656	835
814	3663	831
815	3665	826
816	3667	821
817	3670	816
818	3672	811
819	3675	806
820	3677	801
821	3679	796
822	3682	791
823	3684	787
824	3687	782
825	3689	777
826	3691	772
827	3694	767
828	3697	762
829	3699	757
830	3701	752
831	3704	748
832	3706	743
833	3713	739
834	3715	734
835	3718	729
836	3724	725
837	3730	721
838	3733	716
839	3737	711
840	3739	707
841	3743	702
842	3745	697
843	3748	692
844	3750	688
845	3753	683
846	3755	678
847	3758	673
848	3760	668
849	3766	664
850	3770	660
851	3773	655
852	3776	650
853	3779	646
854	3781	641
855	3784	636
856	3786	631
857	3788	627
858	3791	622
859	3794	617
860	3800	613
861	3803	608
862	3806	604
863	3812	600
864	3818	596
865	3821	591
866	3824	586
867	3826	581
868	3830	577
869	3832	572
870	3834	567
871	3837	563
872	3841	558
873	3847	554
874	3849	549
875	3852	545
876	3858	541
877	3864	537
878	3871	532
879	3878	528
880	3880	524
881	3887	520
882	3890	515
883	3893	510
884	3900	506
885	3904	502
886	3908	497
887	3911	493
888	3913	488
889	3915	483
890	3918	479
891	3926	475
892	3932	471
893	3938	466
894	3940	462
895	3946	458
896	3950	453
897	3955	449
898	3958	444
899	3961	440
900	3966	435
901	3972	431
902	3977	427
903	3985	423
904	3991	418
905	3997	414
906	4001	410
907	4003	405
908	4006	401
909	4008	396
910	4011	391
911	4014	387
912	4016	382
913	4019	378
914	4022	373
915	4024	369
916	4026	364
917	4033	360
918	4035	355
919	4037	351
920	4040	346
921	4046	342
922	4048	337
923	4055	333
924	4058	329
925	4060	324
926	4066	320
927	4069	315
928	4076	311
929	4082	307
930	4088	303
931	4090	298
932	4093	293
933	4095	289
934	4102	285
935	4104	280
936	4107	276
937	4111	271
938	4114	267
939	4117	262
940	4124	258
941	4130	254
942	4132	249
943	4134	245
944	4136	240
945	4140	236
946	4143	231
947	4145	227
948	4148	222
949	4153	218
950	4156	214
951	4158	209
952	4160	205
953	4163	200
954	4166	196
955	4170	191
956	4172	187
957	4176	183
958	4178	178
959	4181	174
960	4185	169
961	4188	165
962	4191	161
963	4194	156
964	4196	152
965	4199	147
966	4202	143
967	4205	139
968	4207	134
969	4213	130
970	4215	125
971	4219	121
972	4221	117
973	4223	112
974	4227	108
975	4230	104
976	4236	99
977	4239	95
978	4241	90
979	4243	86
980	4246	82
981	4248	77
982	4250	73
983	4257	69
984	4262	64
985	4269	60
986	4275	56
987	4277	51
988	4281	47
989	4288	43
990	4292	38
991	4298	34
992	4300	30
993	4303	25
994	4305	21
995	4312	17
996	4314	12
997	4320	8
998	4323	4
999	4325	0
