iter	RMSE
268	0.7527726393
269	0.7525088003
270	0.7524565633
271	0.7523545677
272	0.7521875757
273	0.7520456344
274	0.7519528879
275	0.7516666706
276	0.7516093851
277	0.7515441536
278	0.7515023766
279	0.7513832758
280	0.7513414395
281	0.7511215579
282	0.751070912
283	0.750969777
284	0.7509094465
285	0.7507828694
286	0.750693051
287	0.7506519102
288	0.750471792
289	0.7500555239
290	0.7500537568
291	0.7499636017
292	0.7498709781
293	0.749836394
294	0.7494655273
295	0.7494326671
296	0.7494007859
297	0.7493126419
298	0.7493034291
299	0.7491477896
300	0.74902388
301	0.7487807502
302	0.74872054
303	0.7485897887
304	0.748588431
305	0.7484442565
306	0.7482031928
307	0.7480819835
308	0.7480806502
309	0.7480066623
310	0.7479348066
311	0.7479032134
312	0.7477758652
313	0.7476761938
314	0.7475269013
315	0.7474309697
316	0.7473420049
317	0.7472716813
318	0.7471148832
319	0.747096323
320	0.7470752405
321	0.7468446246
322	0.7467632511
323	0.7467022608
324	0.746572994
325	0.7465458427
326	0.7465315412
327	0.7462451233
328	0.7461454523
329	0.745936073
330	0.7459053018
331	0.7458886952
332	0.7455944128
333	0.7455782938
334	0.7455626564
335	0.74556185
336	0.7454433415
337	0.7453799209
338	0.7453651969
339	0.7451723802
340	0.7451585265
341	0.7451097051
342	0.7449711263
343	0.7447923572
344	0.7446398929
345	0.7445731621
346	0.7445724465
347	0.7444332162
348	0.7443621475
349	0.7442619941
350	0.7442144556
351	0.7441462843
352	0.7439289378
353	0.7439178045
354	0.743853782
355	0.7438429892
356	0.7438156629
357	0.7438151432
358	0.743692247
359	0.7436308359
360	0.7436019885
361	0.7436015222
362	0.7434360451
363	0.7434356158
364	0.7433393199
365	0.7432921642
366	0.7432825895
367	0.7432236851
368	0.743169026
369	0.7430191166
370	0.7429188854
371	0.7428092257
372	0.7428087951
373	0.7427766767
374	0.7427762656
375	0.742691106
376	0.7426906823
377	0.7425524879
378	0.7424998366
379	0.7424919559
380	0.7423711289
381	0.7423409975
382	0.7423199132
383	0.7422744252
384	0.7422225645
385	0.742196102
386	0.7421010012
387	0.7419472126
388	0.7418991849
389	0.7418860035
390	0.741773502
391	0.741661125
392	0.7416545453
393	0.7416331829
394	0.7416329131
395	0.7415982083
396	0.7415912716
397	0.7415848409
398	0.7415786016
399	0.7415725481
400	0.7414382195
401	0.7414049722
402	0.7412740571
403	0.7412685091
404	0.7411255271
405	0.7401477118
406	0.740060324
407	0.7400172297
408	0.7399561504
409	0.7399364526
410	0.7398702932
411	0.739865186
412	0.7398602308
413	0.7397262193
414	0.7396685293
415	0.7394664816
416	0.7394619819
417	0.7393687844
418	0.7392945555
419	0.7392436299
420	0.7392393854
421	0.7392008348
422	0.739110366
423	0.7390738348
424	0.7390384466
425	0.7389789026
426	0.7389749306
427	0.7388908564
428	0.7388869691
429	0.7388674047
430	0.7388636226
431	0.7388061575
432	0.7387503774
433	0.7387456912
434	0.7387422312
435	0.7387251337
436	0.7387218775
437	0.738720576
438	0.7387174373
439	0.7387143922
440	0.7387142453
441	0.7386917163
442	0.7386915875
443	0.7386678101
444	0.7385807341
445	0.7385207391
446	0.7384896084
447	0.7383809455
448	0.7383711551
449	0.7383684727
450	0.7382824729
451	0.7382114205
452	0.7382088424
453	0.7382023614
454	0.7381901855
455	0.7380841135
456	0.7380839982
457	0.7380816703
458	0.7380430538
459	0.7379776155
460	0.7379234724
461	0.7379213502
462	0.7378458889
463	0.7378431922
464	0.7378431052
465	0.7378137828
466	0.7378111447
467	0.737788008
468	0.737785928
469	0.7377835474
470	0.7376883662
471	0.737685754
472	0.737625483
473	0.7376028023
474	0.7375316561
475	0.7375297013
476	0.7375296194
477	0.7375277241
478	0.7374859368
479	0.7374841525
480	0.7374824214
481	0.7374807418
482	0.7374315196
483	0.7374236409
484	0.7373718114
485	0.7373702813
486	0.7373038938
487	0.7372004909
488	0.737199031
489	0.7371976145
490	0.7371962403
491	0.7371626097
492	0.7371415349
493	0.7369689018
494	0.7369675778
495	0.7369662933
496	0.7354449864
497	0.7354209461
498	0.7353368159
499	0.735260125
500	0.7352343333
501	0.7352332356
502	0.7352321707
503	0.7352311374
504	0.7351693921
505	0.735147391
506	0.7351464165
507	0.7351141655
508	0.7351111105
509	0.735060204
510	0.7350534158
511	0.7350524851
512	0.7350523348
513	0.7350316447
514	0.735026203
515	0.7350252982
516	0.7350049418
517	0.7349888014
518	0.7349772192
519	0.7349763697
520	0.7349090678
521	0.7349020605
522	0.7349012225
523	0.7349004094
524	0.7348996206
525	0.7348485869
526	0.7347890532
527	0.7347730241
528	0.7347722451
529	0.7346803406
530	0.7346621542
531	0.7346479973
532	0.7346303675
533	0.7346190981
534	0.7346001561
535	0.7345993692
536	0.7345915684
537	0.7345774929
538	0.7345754317
539	0.7345618593
540	0.7345430522
541	0.7345422574
542	0.7345414865
543	0.734538601
544	0.7345278173
545	0.7344827274
546	0.7344131637
547	0.7343959691
548	0.7343959435
549	0.7343951368
550	0.7343823067
551	0.7343815313
552	0.7343649118
553	0.7343641159
554	0.7343500282
555	0.7343363474
556	0.7343355723
557	0.734325388
558	0.7343144635
559	0.7343137141
560	0.7343129872
561	0.7343060797
562	0.7342967391
563	0.7342960334
564	0.7342831541
565	0.734268394
566	0.7342128989
567	0.7342122135
568	0.7342095033
569	0.7342088217
570	0.7339777727
571	0.7339771311
572	0.7339764873
573	0.7339758627
574	0.733919814
575	0.7338661372
576	0.7338232685
577	0.7337597232
578	0.7337455183
579	0.7337449428
580	0.7337443647
581	0.7337393991
582	0.7337388579
583	0.7337383329
584	0.733733012
585	0.7337247953
586	0.7337242997
587	0.7337188985
588	0.7337184177
589	0.7336746512
590	0.7336664036
591	0.7336609981
592	0.7336529565
593	0.7336501752
594	0.7335731875
595	0.7335362123
596	0.7335356848
597	0.7334620814
598	0.7334541319
599	0.7334536228
600	0.7334487288
601	0.7334439167
602	0.7334439018
603	0.7333300238
604	0.7333145061
605	0.732994163
606	0.7329936774
607	0.7329443618
608	0.7329361323
609	0.7328609802
610	0.7328609455
611	0.7328604505
612	0.7328493388
613	0.7328488577
614	0.7328483778
615	0.7328479121
616	0.7328452572
617	0.7328448048
618	0.7328070605
619	0.732736228
620	0.732688297
621	0.7326767769
622	0.7326693275
623	0.7326667817
624	0.7326663029
625	0.7326550885
626	0.7326526121
627	0.7326433576
628	0.7325793095
629	0.7325696927
630	0.7321329432
631	0.7321324253
632	0.7320860405
633	0.7320817192
634	0.7320733083
635	0.7320727988
636	0.7320723161
637	0.7320629283
638	0.7320562548
639	0.7320557731
640	0.7320109221
641	0.7320085889
642	0.7320044196
643	0.7320039455
644	0.7319604474
645	0.7319600143
646	0.7319595942
647	0.7319591867
648	0.7319587914
649	0.7319405707
650	0.731904947
651	0.7318972776
652	0.7318968688
653	0.7318964723
654	0.7318890057
655	0.7318886206
656	0.731888247
657	0.7318802478
658	0.7318798638
659	0.7318790999
660	0.7318732358
661	0.7318728611
662	0.7318649123
663	0.7318592422
664	0.7318588553
665	0.731856613
666	0.7317481586
667	0.7317238356
668	0.7317234554
669	0.7317212323
670	0.7317190444
671	0.7316886446
672	0.7316570123
673	0.7316520516
674	0.7316428746
675	0.7316390847
676	0.7316386814
677	0.7316305163
678	0.731630113
679	0.7316297126
680	0.7316243138
681	0.7316174991
682	0.7316171192
683	0.7316104942
684	0.7316101146
685	0.7316048516
686	0.7316044845
687	0.7315999485
688	0.7315995907
689	0.7315963353
690	0.7315959791
691	0.7315925833
692	0.7315922465
693	0.73159192
694	0.7314508827
695	0.7311950008
696	0.7311875715
697	0.7310926682
698	0.7310907063
699	0.7310865023
700	0.7310820467
701	0.7310788469
702	0.7310742581
703	0.7293492035
704	0.7293437293
705	0.7293393327
706	0.7293393303
707	0.7293362884
708	0.7293331835
709	0.7293068885
710	0.7293027097
711	0.7292970937
712	0.7292968784
713	0.7292966724
714	0.7292937947
715	0.7292909627
716	0.7292907627
717	0.729287975
718	0.7292824583
719	0.7292783967
720	0.7292782074
721	0.7292742462
722	0.72828307
723	0.7261283447
724	0.7261281158
725	0.7261253839
726	0.7261175819
727	0.7261148238
728	0.726110166
729	0.7261063057
730	0.7261013897
731	0.725729688
732	0.7257270444
733	0.7257235924
734	0.7257233847
735	0.7256976523
736	0.7256942205
737	0.7256940728
738	0.7256938888
739	0.7256901988
740	0.7256877552
741	0.725684482
742	0.7256820791
743	0.7256603398
744	0.7256602132
745	0.7256570035
746	0.7256569941
747	0.7256545331
748	0.7256543442
749	0.7256520198
750	0.7256477114
751	0.7256453575
752	0.7251857082
753	0.7251826648
754	0.72517848
755	0.7251784606
756	0.7251515592
757	0.7251328067
758	0.7251307058
759	0.7251305225
760	0.7251264546
761	0.7251224513
762	0.7251222652
763	0.7251220853
764	0.7249764384
765	0.72497454
766	0.7249725337
767	0.724970414
768	0.7244059358
769	0.7244015835
770	0.7243953668
771	0.7243951904
772	0.724393251
773	0.7243930965
774	0.72439115
775	0.7243892334
776	0.7243872566
777	0.7243853973
778	0.7242714292
779	0.7242712931
780	0.7242472273
781	0.7242453274
782	0.7242435294
783	0.7242205082
784	0.7242203861
785	0.7242202527
786	0.7242171983
787	0.7241960616
788	0.7241943939
789	0.7241594474
790	0.724134565
791	0.7229802801
792	0.7229776948
793	0.7229736922
794	0.7229719958
795	0.7229675165
796	0.7229657794
797	0.7229415274
798	0.7229151884
799	0.7229112622
800	0.7229096379
801	0.722905241
802	0.7229035957
803	0.7229019859
804	0.7228987742
805	0.7228949863
806	0.7228933365
807	0.7228896482
808	0.7228881245
809	0.7228838997
810	0.7228824234
811	0.7228783136
812	0.7228742928
813	0.7228728854
814	0.7228401028
815	0.7228387383
816	0.7228373946
817	0.7228358451
818	0.7228345211
819	0.7228332172
820	0.7228295188
821	0.722827993
822	0.7228267188
823	0.7228239395
824	0.7228217125
825	0.7228204872
826	0.7228192809
827	0.7228192481
828	0.7228156684
829	0.7228144781
830	0.7228109533
831	0.7228085265
832	0.7228059242
833	0.7227289017
834	0.7227277893
835	0.7227252359
836	0.7227015486
837	0.7226827408
838	0.7226816846
839	0.7226585799
840	0.7226575465
841	0.7226340978
842	0.7226330953
843	0.7226321081
844	0.7226297293
845	0.7226263021
846	0.7226253452
847	0.7226244028
848	0.7226234747
849	0.7225451196
850	0.7225230862
851	0.7225199515
852	0.7225043169
853	0.7225001325
854	0.7224991406
855	0.7224982795
856	0.7224981895
857	0.7224973295
858	0.7224870437
859	0.7224862087
860	0.7224699377
861	0.7224698129
862	0.7224657961
863	0.7224499463
864	0.7224344841
865	0.7224322538
866	0.7224314877
867	0.7224284963
868	0.7224277544
869	0.7224276438
870	0.7224269135
871	0.7224247568
872	0.7224034059
873	0.7223865167
874	0.722385812
875	0.7223851183
876	0.7223604353
877	0.7223439887
878	0.7223279344
879	0.7223122627
880	0.7223121586
881	0.7222908438
882	0.7222883674
883	0.7222877256
884	0.7219913674
885	0.7219707922
886	0.7219688445
887	0.7219672436
888	0.7219665461
889	0.7219664506
890	0.7219645809
891	0.721886615
892	0.7218860296
893	0.7218827433
894	0.7218826536
895	0.7218825666
896	0.7218804688
897	0.7218798946
898	0.7218786733
899	0.721878587
900	0.7218770043
901	0.7218571027
902	0.7218553193
903	0.7218357375
904	0.7218340042
905	0.7218150647
906	0.721814961
907	0.721814329
908	0.721813708
909	0.7218116516
910	0.7218099606
911	0.7218086354
912	0.7218080287
913	0.721807798
914	0.7218072875
915	0.7218071893
916	0.7218066076
917	0.7217916843
918	0.721791473
919	0.7217913842
920	0.721789757
921	0.7217623589
922	0.7217621644
923	0.7208620063
924	0.7208521746
925	0.7208521628
926	0.7207869831
927	0.7207856824
928	0.720762452
929	0.7207234396
930	0.7206607353
931	0.7206592073
932	0.7206577046
933	0.7206572657
934	0.7204420235
935	0.7204415907
936	0.7204141063
937	0.7204127116
938	0.7203875403
939	0.7203631161
940	0.7203413474
941	0.7202711406
942	0.7202707143
943	0.7202702951
944	0.7202698826
945	0.720268551
946	0.7202601931
947	0.7202519491
948	0.7202513405
949	0.7202501718
950	0.7202424221
951	0.7202410486
952	0.7202406643
953	0.7202397186
954	0.7202320769
955	0.7202083845
956	0.7202083816
957	0.7202071466
958	0.7201999615
959	0.7201778099
960	0.7201617547
961	0.7201580332
962	0.720137008
963	0.7201366379
964	0.7201362096
965	0.720135604
966	0.7201151966
967	0.7201146342
968	0.7201084351
969	0.720004046
970	0.7200037002
971	0.7200033124
972	0.7199972323
973	0.7199912182
974	0.7199901438
975	0.7199707468
976	0.7199346543
977	0.7199345334
978	0.7199336406
979	0.7199283785
980	0.7199274965
981	0.7199274927
982	0.7199269863
983	0.7196291679
984	0.7195881276
985	0.7195708303
986	0.7195410415
987	0.719540687
988	0.7195401847
989	0.7194637829
990	0.7194460034
991	0.7193327703
992	0.7193324293
993	0.7193318774
994	0.7193306542
995	0.7190049001
996	0.719004577
997	0.7182242017
998	0.7182193231
999	0.7182183403
